Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            143:0 -> 128:0
 24:0   Note on                 0, note 57, velocity 25
 24:0   Note on                 0, note 59, velocity 54
 24:0   Note on                 0, note 60, velocity 54
 24:0   Note on                 0, note 62, velocity 54
 24:0   Note on                 0, note 64, velocity 58
 24:0   Note off                0, note 64, velocity 20
 24:0   Note off                0, note 62, velocity 19
 24:0   Note off                0, note 60, velocity 24
 24:0   Note off                0, note 59, velocity 67
 24:0   Note off                0, note 57, velocity 65
 24:0   Note on                 0, note 64, velocity 18
 24:0   Note on                 0, note 57, velocity 16
 24:0   Note on                 0, note 62, velocity 52
 24:0   Note on                 0, note 60, velocity 31
 24:0   Note on                 0, note 59, velocity 36
 24:0   Note off                0, note 59, velocity 24
 24:0   Note off                0, note 60, velocity 43
 24:0   Note off                0, note 57, velocity 48
 24:0   Note off                0, note 64, velocity 22
 24:0   Note off                0, note 62, velocity 40
 24:0   Note on                 0, note 81, velocity 56
 24:0   Note on                 0, note 74, velocity 62
 24:0   Note on                 0, note 77, velocity 63
 24:0   Note off                0, note 77, velocity 66
 24:0   Note off                0, note 81, velocity 49
 24:0   Note off                0, note 74, velocity 63
 24:0   Note on                 0, note 74, velocity 67
 24:0   Note on                 0, note 77, velocity 70
 24:0   Note on                 0, note 81, velocity 58
 24:0   Note off                0, note 74, velocity 40
 24:0   Note off                0, note 77, velocity 48
 24:0   Note off                0, note 81, velocity 49
 24:0   Note on                 0, note 74, velocity 77
 24:0   Note on                 0, note 81, velocity 64
 24:0   Note on                 0, note 79, velocity 70
 24:0   Note on                 0, note 77, velocity 102
 24:0   Note off                0, note 79, velocity 53
 24:0   Note off                0, note 81, velocity 6
 24:0   Note off                0, note 77, velocity 25
 24:0   Note off                0, note 74, velocity 40
 24:0   Control change          0, controller 1, value 77
 24:0   Control change          0, controller 1, value 78
 24:0   Control change          0, controller 1, value 79
 24:0   Control change          0, controller 1, value 80
 24:0   Control change          0, controller 1, value 81
 24:0   Control change          0, controller 1, value 82
 24:0   Control change          0, controller 1, value 83
 24:0   Control change          0, controller 1, value 84
 24:0   Control change          0, controller 1, value 85
 24:0   Control change          0, controller 1, value 86
 24:0   Control change          0, controller 1, value 87
 24:0   Control change          0, controller 1, value 88
 24:0   Control change          0, controller 1, value 89
 24:0   Control change          0, controller 1, value 90
 24:0   Control change          0, controller 1, value 91
 24:0   Control change          0, controller 1, value 92
 24:0   Control change          0, controller 1, value 93
 24:0   Control change          0, controller 1, value 94
 24:0   Control change          0, controller 1, value 95
 24:0   Control change          0, controller 1, value 96
 24:0   Control change          0, controller 1, value 97
 24:0   Control change          0, controller 1, value 98
 24:0   Control change          0, controller 1, value 99
 24:0   Control change          0, controller 1, value 100
 24:0   Control change          0, controller 1, value 101
 24:0   Control change          0, controller 1, value 102
 24:0   Control change          0, controller 1, value 103
 24:0   Control change          0, controller 1, value 104
 24:0   Control change          0, controller 1, value 105
 24:0   Control change          0, controller 1, value 106
 24:0   Control change          0, controller 1, value 107
 24:0   Control change          0, controller 1, value 108
 24:0   Control change          0, controller 1, value 109
 24:0   Control change          0, controller 1, value 110
 24:0   Control change          0, controller 1, value 111
 24:0   Control change          0, controller 1, value 112
 24:0   Control change          0, controller 1, value 113
 24:0   Control change          0, controller 1, value 114
 24:0   Control change          0, controller 1, value 115
 24:0   Control change          0, controller 1, value 116
 24:0   Control change          0, controller 1, value 117
 24:0   Control change          0, controller 1, value 118
 24:0   Control change          0, controller 1, value 119
 24:0   Control change          0, controller 1, value 120
 24:0   Control change          0, controller 1, value 121
 24:0   Control change          0, controller 1, value 122
 24:0   Control change          0, controller 1, value 123
 24:0   Control change          0, controller 1, value 124
 24:0   Control change          0, controller 1, value 125
 24:0   Control change          0, controller 1, value 126
 24:0   Control change          0, controller 1, value 127
 24:0   Control change          0, controller 1, value 126
 24:0   Control change          0, controller 1, value 125
 24:0   Control change          0, controller 1, value 124
 24:0   Control change          0, controller 1, value 123
 24:0   Control change          0, controller 1, value 122
 24:0   Control change          0, controller 1, value 121
 24:0   Control change          0, controller 1, value 120
 24:0   Control change          0, controller 1, value 119
 24:0   Control change          0, controller 1, value 118
 24:0   Control change          0, controller 1, value 117
 24:0   Control change          0, controller 1, value 116
 24:0   Control change          0, controller 1, value 115
 24:0   Control change          0, controller 1, value 114
 24:0   Control change          0, controller 1, value 113
 24:0   Control change          0, controller 1, value 112
 24:0   Control change          0, controller 1, value 111
 24:0   Control change          0, controller 1, value 110
 24:0   Control change          0, controller 1, value 109
 24:0   Control change          0, controller 1, value 108
 24:0   Control change          0, controller 1, value 107
 24:0   Control change          0, controller 1, value 106
 24:0   Control change          0, controller 1, value 105
 24:0   Control change          0, controller 1, value 104
 24:0   Control change          0, controller 1, value 103
 24:0   Control change          0, controller 1, value 102
 24:0   Control change          0, controller 1, value 101
 24:0   Control change          0, controller 1, value 100
 24:0   Control change          0, controller 1, value 99
 24:0   Control change          0, controller 1, value 98
 24:0   Control change          0, controller 1, value 97
 24:0   Control change          0, controller 1, value 96
 24:0   Control change          0, controller 1, value 95
 24:0   Control change          0, controller 1, value 94
 24:0   Control change          0, controller 1, value 93
 24:0   Control change          0, controller 1, value 92
 24:0   Control change          0, controller 1, value 91
 24:0   Control change          0, controller 1, value 90
 24:0   Control change          0, controller 1, value 89
 24:0   Control change          0, controller 1, value 88
 24:0   Control change          0, controller 1, value 87
 24:0   Control change          0, controller 1, value 86
 24:0   Control change          0, controller 1, value 85
 24:0   Control change          0, controller 1, value 84
 24:0   Control change          0, controller 1, value 83
 24:0   Control change          0, controller 1, value 82
 24:0   Control change          0, controller 1, value 81
 24:0   Control change          0, controller 1, value 80
 24:0   Control change          0, controller 1, value 79
 24:0   Control change          0, controller 1, value 78
 24:0   Control change          0, controller 1, value 77
 24:0   Control change          0, controller 1, value 76
 24:0   Control change          0, controller 1, value 75
 24:0   Control change          0, controller 1, value 74
 24:0   Control change          0, controller 1, value 73
 24:0   Control change          0, controller 1, value 72
 24:0   Control change          0, controller 1, value 71
 24:0   Control change          0, controller 1, value 70
 24:0   Control change          0, controller 1, value 69
 24:0   Control change          0, controller 1, value 68
 24:0   Control change          0, controller 1, value 67
 24:0   Control change          0, controller 1, value 66
 24:0   Control change          0, controller 1, value 65
 24:0   Control change          0, controller 1, value 64
 24:0   Control change          0, controller 1, value 63
 24:0   Control change          0, controller 1, value 62
 24:0   Control change          0, controller 1, value 61
 24:0   Control change          0, controller 1, value 60
 24:0   Control change          0, controller 1, value 59
 24:0   Pitch bend              0, value 128
 24:0   Pitch bend              0, value 256
 24:0   Pitch bend              0, value 384
 24:0   Pitch bend              0, value 512
 24:0   Pitch bend              0, value 640
 24:0   Pitch bend              0, value 768
 24:0   Pitch bend              0, value 896
 24:0   Pitch bend              0, value 1024
 24:0   Pitch bend              0, value 1152
 24:0   Pitch bend              0, value 1280
